frame,x,y,visible
0.0,2275.5,1201.5999755859375,1.0
1.0,2275.39990234375,1201.5999755859375,1.0
2.0,2275.39990234375,1201.5999755859375,1.0
3.0,2275.39990234375,1201.5999755859375,1.0
4.0,2275.5,1201.699951171875,1.0
5.0,2275.39990234375,1201.699951171875,1.0
6.0,2275.39990234375,1201.800048828125,1.0
7.0,2275.39990234375,1201.699951171875,1.0
8.0,2275.300048828125,1201.699951171875,1.0
9.0,2275.300048828125,1201.800048828125,1.0
10.0,2275.300048828125,1201.800048828125,1.0
11.0,2275.300048828125,1201.800048828125,1.0
12.0,2275.300048828125,1201.800048828125,1.0
13.0,2275.300048828125,1201.9000244140625,1.0
14.0,2275.300048828125,1202.0,1.0
15.0,2275.300048828125,1202.0,1.0
16.0,2275.300048828125,1202.0,1.0
17.0,2275.199951171875,1202.0,1.0
18.0,2275.199951171875,1202.0999755859375,1.0
19.0,2275.199951171875,1202.0999755859375,1.0
20.0,2275.199951171875,1202.0999755859375,1.0
21.0,2275.199951171875,1202.0999755859375,1.0
22.0,2275.199951171875,1202.199951171875,1.0
23.0,2275.199951171875,1202.0999755859375,1.0
24.0,2275.300048828125,1201.9000244140625,1.0
25.0,2275.199951171875,1202.0999755859375,1.0
26.0,2275.199951171875,1202.0999755859375,1.0
27.0,2275.199951171875,1202.0999755859375,1.0
28.0,2275.199951171875,1201.9000244140625,1.0
29.0,2275.199951171875,1202.0,1.0
30.0,2275.199951171875,1202.0,1.0
31.0,2275.199951171875,1202.0,1.0
32.0,2275.199951171875,1202.0999755859375,1.0
33.0,2275.199951171875,1202.0999755859375,1.0
34.0,2275.199951171875,1202.0999755859375,1.0
35.0,2275.199951171875,1202.0999755859375,1.0
36.0,2275.300048828125,1202.0999755859375,1.0
37.0,2275.5,1202.300048828125,1.0
38.0,2275.60009765625,1202.199951171875,1.0
39.0,2275.5,1202.300048828125,1.0
40.0,2275.60009765625,1202.300048828125,1.0
41.0,2275.60009765625,1202.300048828125,1.0
42.0,2275.60009765625,1202.4000244140625,1.0
43.0,2275.699951171875,1202.4000244140625,1.0
44.0,2275.60009765625,1202.4000244140625,1.0
45.0,2275.699951171875,1202.4000244140625,1.0
46.0,2275.699951171875,1202.4000244140625,1.0
47.0,2275.699951171875,1202.4000244140625,1.0
48.0,2275.699951171875,1202.4000244140625,1.0
49.0,2275.699951171875,1202.5,1.0
50.0,2276.0,1202.800048828125,1.0
51.0,2276.10009765625,1202.800048828125,1.0
52.0,2276.0,1202.800048828125,1.0
53.0,2276.0,1202.9000244140625,1.0
54.0,2276.0,1202.800048828125,1.0
55.0,2276.10009765625,1202.800048828125,1.0
56.0,2276.0,1202.800048828125,1.0
57.0,2276.0,1202.699951171875,1.0
58.0,2276.0,1202.699951171875,1.0
59.0,2276.0,1202.699951171875,1.0
60.0,2276.0,1202.699951171875,1.0
61.0,2276.0,1202.5999755859375,1.0
62.0,2276.0,1202.699951171875,1.0
63.0,2276.0,1202.5999755859375,1.0
64.0,2276.0,1202.5999755859375,1.0
65.0,2276.0,1202.5999755859375,1.0
66.0,2276.0,1202.5999755859375,1.0
67.0,2275.89990234375,1202.800048828125,1.0
68.0,2275.89990234375,1202.5999755859375,1.0
69.0,2275.89990234375,1202.699951171875,1.0
70.0,2275.89990234375,1202.699951171875,1.0
71.0,2275.89990234375,1202.800048828125,1.0
72.0,2275.89990234375,1202.800048828125,1.0
73.0,2275.89990234375,1202.699951171875,1.0
74.0,2275.89990234375,1202.800048828125,1.0
75.0,2275.89990234375,1202.800048828125,1.0
76.0,2275.89990234375,1202.9000244140625,1.0
